	IDresults120110_UNC13-SN749_0141_AD0J7WACXX_ATCACG_L005_-sam-report.tsv	IDresults120110_UNC13-SN749_0141_AD0J7WACXX_GATCAG_L004_-sam-report.tsv	IDresults120110_UNC13-SN749_0141_AD0J7WACXX_GGCTAC_L002_-sam-report.tsv	IDresults120110_UNC13-SN749_0141_AD0J7WACXX_TTAGGC_L007_.Y.Y-sam-report.tsv	IDresults120110_UNC13-SN749_0141_AD0J7WACXX_TTAGGC_L008_-sam-report.tsv	IDresults120110_UNC13-SN749_0142_BD0HK1ACXX_CGATGT_L005_.Y.Y-sam-report.tsv	IDresults120110_UNC13-SN749_0142_BD0HK1ACXX_CTTGTA_L006_.Y.Y-sam-report.tsv	IDresults120118_UNC12-SN629_0180_BC0BWMACXX_ACTTGA_L006_-sam-report.tsv	IDresults120118_UNC12-SN629_0180_BC0BWMACXX_TAGCTT_L007_.Y.Y-sam-report.tsv	IDresults120207_UNC10-SN254_0325_AC0C6MACXX_ATCACG_L005_.Y.Y-sam-report.tsv	IDresults120207_UNC9-SN296_0271_BC0CB8ACXX_ACAGTG_L002_.Y-sam-report.tsv	IDresults120717_UNC14-SN744_0245_AC0WYWACXX_ATCACG_L005_.Y-sam-report.tsv	IDresults120717_UNC14-SN744_0245_AC0WYWACXX_CTTGTA_L005_-sam-report.tsv	IDresults120723_UNC10-SN254_0372_AC0T70ACXX_TTAGGC_L001_-sam-report.tsv	IDresults120723_UNC10-SN254_0372_AC0T70ACXX_TTAGGC_L004_.Y-sam-report.tsv	IDresults120723_UNC10-SN254_0372_AC0T70ACXX_TTAGGC_L006_.Y-sam-report.tsv	IDresults130328_UNC10-SN254_0443_AD238RACXX_CTTGTA_L002_-sam-report.tsv	IDresults130513_UNC14-SN744_0340_BD250CACXX_GTGGCC_L008_.Y-sam-report.tsv	IDresults130814_UNC10-SN254_0487_AC2BD1ACXX_CAGATC_L006_.Y-sam-report.tsv
Patients	83b41d35-69b1-4218-be1a-8821d8a6899c	419deaac-ea45-4bdd-9fa0-b5cd8429b44f	ebedab7c-dd7c-448e-8324-78c86f13be8b	4dc5cffe-ed8c-47ab-b5fc-f9615b5414f7	556fcbc8-172a-4af1-8822-ae036e8d68e8	679a6869-2ce9-4472-8db1-8869e2c1a440	811b3950-36e7-485f-bc48-aca1eee2ddef	797a71ee-372d-41e5-aeee-5ab3c4661110	d17a5ab1-3789-4652-aff5-d8f4f2291f9c	f8780a4b-7f55-41d1-bf92-8513955d150e	5d54c742-5a8e-4c40-8d62-95e75e210ab8	2e85c30c-c4c4-4096-9eef-4eb2c7d991a3	31da07bb-6752-49a3-a7ea-5427c04a9458	7840aea9-40c4-473e-be33-8fa0b9f332c9	db52c68a-ed44-4ec4-9381-d75f9bcbc29a	d53eade8-a845-4252-aece-92f3573486a7	52fddd92-fa5e-4fac-8e44-e64c98c84f86	32efe5e2-e037-4547-8ead-619f61647639	acf6bdf3-6349-49dc-b99a-4eda648eeac5
ti|33203	3	1	1	5	2	0	3	6	1	3	5	1	2	4	2	2	0	2	0
ti|759272	8	1	2	6	1	0	2	13	7	11	23	20	8	0	3	5	4	8	14
ti|1201112	25	12	23	24	21	0	21	27	26	43	16	56	41	21	14	46	27	40	93
ti|5480	32	11	20	27	12	0	13	37	59	61	27	43	40	33	20	25	25	41	54
ti|35725	4	1	0	3	2	0	1	1	4	3	1	3	2	0	3	0	3	1	1
ti|286282	5	2	5	10	6	0	4	4	8	5	1	0	2	0	2	2	2	7	7
ti|510951	4	1	1	3	0	0	1	9	1	8	16	4	0	6	2	11	1	0	8
ti|413071	3	3	0	3	1	0	4	6	9	4	2	2	15	21	6	9	4	6	2
ti|999810	25	15	11	32	23	0	20	35	31	35	18	53	35	0	29	29	46	35	45
ti|225343	5	3	4	24	6	0	9	3	11	13	16	18	12	15	5	7	8	6	255
ti|1437815	14	19	15	19	32	0	20	16	47	29	10	50	32	37	58	78	14	33	32
ti|1071380	9	9	8	7	5	0	8	14	16	13	11	31	10	0	23	33	10	12	547
ti|36022	9	11	4	8	9	0	4	12	17	15	14	18	17	64	14	26	12	4	21
ti|557896	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ti|174410	0.5	0	0	0	0	0	0	2	0	0	1	1	0	2	0	1	0	0	0
ti|684364	1	2	5	2	1	0	0	4	3	6	4	4	10	4	4	6	6	94	11
ti|486041	1	1	2	1	5	0	2	17	5	10	13	6	7	12	8	4	2	3	5
ti|390896	1	0	0	1	0	0	0	1	0	0	2	0	0	4	5	2	0	0	3
ti|290210	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
ti|27337	1	1	1	1	0	0	0	0	1	0	1	0	0	0	1	1	0	0	3
ti|1420317	1	0	0	1	0	0	0	0	1	0	0	0	2	5	0	1	0	0	0
ti|1293502	1	0	0	0	0	0	1	0	0	1	0	0	1	0	2	0	0	1	0
ti|1166704	1	0	0	0	0	0	0	4	1	0	0	0	0	6	0	1	0	0	28
ti|644527	1	1	0	0	0	0	0	0	0	1	0	1	6	0	1	1	0	0	0
ti|5062	23	23	63	20	20	0	30	50	64	43	36	127	132	33	36	44	256	69	87
ti|1305995	1	1	1	0	0	0	1	0	0	2	0	1	1	0	10	7	0	3	1
ti|1305959	1	0	0	0	0	0	0	0	0	0	2	1	1	0	0	1	0	0	0
ti|330879	13	2	2	18	6	0	6	16	19	13	10	15	20	0	6	6	3	18	14
ti|235443	6	4	6	7	10	0	5	15	13	8	10	19	7	14	8	13	3	11	11
ti|53492	1	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0
ti|530120	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
ti|1305978	1	1	1	1	0	0	0	2	0	2	1	3	1	0	5	17	0	3	1
ti|246410	18	7	11	14	16	0	13	28	38	24	26	38	25	0	8	13	19	28	188
ti|4954	3	10	3	15	6	0	10	5	7	12	1	9	3	0	8	5	6	5	2
ti|1305986	8	7	7	7	8	0	4	3	8	11	4	14	10	9	9	5	5	9	18
ti|573826	49	31	27	54	49	0	46	83	84	81	60	115	64	0	56	56	54	47	89
ti|4808	8	16	17	87	5	0	17	42	38	28	29	15	87	23	17	12	14	191	127
ti|278021	4	1	1	3	1	0	1	4	1	10	4	7	2	0	3	1	1	2	6
ti|447094	6	1	5	9	1	0	4	4	6	0	9	13	15	0	6	9	9	7	16
ti|1277687	6	8	3	4	1	0	5	13	27	4	11	4	20	0	7	3	5	3	5
ti|5286	2	1	7	2	3	0	1	6	16	3	4	0	0	9	4	5	2	13	14
ti|741705	1	2	2	0	1	0	0	0	5	8	1	0	1	0	5	0	1	5	0
ti|64657	1	0	0	0	1	0	1	5	5	0	6	6	5	0	2	5	3	4	3
ti|63400	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ti|1385766	1	0	0	1	0	0	0	1	1	0	1	0	0	0	0	0	0	1	0
ti|136372	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
ti|1276141	1	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0
ti|1125753	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4
ti|1071381	1	0	1	1	1	0	1	1	2	2	3	1	1	4	0	1	0	0	0
ti|1294328	3	0	1	2	0	0	1	0	1	3	9	2	5	0	86	0	0	0	11
ti|332952	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0
ti|227732	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
ti|651426	1	0	0	0	1	0	0	1	1	0	1	2	0	0	2	0	3	0	1
ti|554049	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
ti|1407648	1	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0
ti|101103	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ti|431241	2	7	2	1	1	0	0	3	1	26	3	4	0	10	18	10	3	0	19
ti|5476	4	2	7	1	6	0	4	6	2	6	3	4	8	8	13	8	1	0	25
ti|5116	1	0	0	0	1	0	0	0	0	1	2	0	0	0	0	1	0	0	1
ti|388807	1	0	0	0	0	0	2	0	1	0	2	0	0	0	1	2	1	0	27
ti|172294	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ti|1294352	1	0	0	0	0	0	1	0	0	0	2	1	1	0	0	3	2	1	0
ti|1294336	1	3	0	0	9	0	1	0	0	0	0	1	2	0	0	0	0	3	2
ti|1230383	1	0	0	6	2	0	1	4	0	0	0	0	0	0	0	0	0	71	0
ti|107832	1	3	4	2	2	0	2	6	2	4	4	3	5	9	9	5	1	5	21
ti|1071378	1	0	0	2	0	0	1	8	5	4	1	5	1	0	3	3	3	0	2
ti|5456	3	0	0	0	0	0	0	2	3	0	2	0	0	0	0	0	2	0	0
ti|148305	5	2	3	3	1	0	0	6	7	2	4	4	6	0	1	2	0	2	3
ti|176178	3	1	1	3	0	0	0	1	1	2	1	4	2	0	3	6	0	1	3
ti|5037	3	1	0	3	0	0	2	1	4	0	2	6	0	0	0	2	1	0	3
ti|121759	10	3	2	9	7	0	11	9	7	0	10	19	12	0	5	9	11	11	24
ti|231639	2	2	0	0	2	0	0	1	0	0	2	0	1	0	0	0	1	0	0
ti|4944	3	5	3	1	1	0	4	3	3	19	6	14	3	35	17	54	7	4	8
ti|656061	2	0	1	0	0	0	0	1	1	0	1	1	1	0	0	0	4	1	0
ti|73501	1	0	0	0	0	0	1	5	0	0	1	4	0	0	0	0	1	1	2
ti|535722	1	0	0	0	0	0	0	1	2	0	0	0	0	0	2	0	0	0	0
ti|40127	3	1	1	1	3	0	2	3	4	0	6	6	6	0	2	3	3	1	3
ti|75734	1	0	0	0	1	0	0	6	1	0	0	8	0	0	1	0	0	116	11185
ti|559304	10	7	3	5	8	0	6	8	12	0	6	22	13	0	3	5	7	5	21
ti|502779	6	0	0	8	1	0	1	10	6	9	8	6	6	0	2	5	3	7	9
ti|379508	4	0	4	10	0	0	0	6	1	9	5	16	2	5	1	7	2	6	7
ti|93612	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ti|653667	1	0	0	2	1	0	1	1	2	0	1	0	1	0	0	2	2	3	1
ti|1294317	1	1	0	0	0	0	3	6	2	0	2	1	3	0	1	2	1	2	2
ti|1294313	1	3	2	0	0	0	0	0	4	361	0	5	6	0	0	4	4	3	6
ti|1308508	2	0	0	4	0	0	0	0	0	1	1	1	0	0	2	0	0	2	0
ti|306902	2	2	0	0	1	0	1	1	1	0	2	0	0	0	0	2	0	0	0
ti|741275	1	2	2	3	0	0	1	6	5	12	3	2	2	12	4	5	0	8	17
ti|168921	1	1	1	3	1	0	4	1	2	5	7	1	3	15	7	4	1	19	19
ti|161662	1	0	0	1	1	0	2	5	0	1	0	1	2	0	2	1	0	0	4
ti|1442369	1	0	0	0	0	0	1	0	0	3	0	0	0	0	1	1	1	0	0
ti|1287680	1	0	7	1	0	0	0	1	0	0	3	1	0	0	3	2	0	0	17
ti|1294381	2	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0
ti|1003335	3	2	8	1	7	0	4	5	12	0	4	9	6	0	2	10	21	8	7
ti|97093	15	8	2	13	20	0	15	33	32	21	16	48	25	0	8	15	31	10	40
ti|1294380	2	1	0	0	0	0	1	0	3	2	2	3	4	0	0	0	1	0	1
ti|73868	1	1	1	3	1	0	1	5	3	8	5	7	11	0	3	4	5	2	1
ti|671987	1	0	1	0	0	0	0	1	2	0	0	1	0	0	0	0	0	2	6
ti|65672	1	0	1	0	0	0	0	2	1	0	0	3	0	0	1	1	1	6	3
ti|566037	1	0	0	1	2	0	0	5	4	0	2	3	7	0	2	3	0	1	2
ti|28985	1	1	5	0	3	0	0	2	2	8	5	2	1	4	0	8	1	5	140
ti|140110	1	0	1	0	0	0	0	3	2	6	3	9	2	0	2	0	2	3	3
ti|1381753	1	1	0	0	0	0	0	2	0	0	1	0	0	0	0	2	0	0	1
ti|1229662	1	0	3	1	0	0	0	0	0	0	0	4	2	0	0	0	1	1	9
ti|1193708	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0
ti|4844	2	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	1	0
ti|180418	2	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	22	256
ti|746128	1	1	2	0	2	0	1	2	0	0	0	5	0	5	0	4	0	0	1
ti|237561	1	0	0	0	0	0	1	0	4	0	1	1	3	0	0	0	0	3	1
ti|4846	12	2	6	10	9	0	9	12	17	0	13	30	21	0	9	9	18	13	13
ti|1306007	2	0	0	0	0	0	1	2	2	4	1	7	6	0	2	3	2	2	0
ti|222929	2	7	6	5	8	0	5	13	9	6	10	13	6	0	6	5	8	8	5
ti|1194602	2	0	3	4	0	0	1	3	0	0	2	2	7	0	0	0	1	3	0
ti|4850	1	0	1	1	3	0	0	1	0	0	1	8	0	0	0	0	0	0	1
ti|266411	1	0	2	0	1	0	0	2	2	5	3	0	0	8	3	3	0	0	0
ti|162425	1	0	5	1	0	0	0	1	2	7	2	1	1	5	1	3	0	0	83
ti|1319882	1	0	0	0	0	0	0	0	0	4	0	0	1	0	0	4	0	0	0
ti|131340	1	0	0	1	2	0	12	18	5	9	9	3	6	31	6	10	1	4	5
ti|162004	5	1	4	2	1	0	7	1	5	0	1	3	2	0	1	1	1	2	5
ti|314119	2	0	1	2	1	0	1	2	3	2	0	10	3	0	1	4	2	5	3
ti|4934	1	0	0	0	1	0	1	2	0	0	0	0	1	0	0	0	0	1	0
ti|1294335	5	0	0	2	0	0	240	1	2	4	1	71	1	0	3	2	0	1	2
ti|447256	2	0	1	0	0	0	0	4	2	0	0	4	1	0	1	0	1	2	1
ti|28550	3	0	0	3	0	0	0	2	3	0	0	0	1	0	1	0	0	0	0
ti|578458	2	0	0	1	1	0	1	1	0	0	0	1	0	0	2	0	0	0	8
ti|1294314	3	3	12	0	2	0	5	6	3	0	1	7	4	0	2	1	1	0	0
ti|732165	3	0	0	1	0	0	1	1	2	0	1	3	1	0	1	1	1	13	0
ti|1294330	2	0	0	0	0	0	6	2	1	0	0	0	0	0	0	1	0	0	0
ti|5478	1	0	1	0	2	0	1	0	2	0	0	10	3	0	1	0	2	6	2
ti|679543	1	0	0	0	0	0	0	1	2	0	0	0	0	0	2	0	0	0	0
ti|336722	1	1	5	0	1	0	0	1	0	7	1	2	1	0	4	1	1	1	10
ti|278681	1	1	1	1	1	0	3	4	3	9	7	1	5	0	3	1	3	1	1
ti|1478284	1	1	1	1	1	0	0	3	0	0	3	4	0	0	0	1	1	0	1
ti|1431946	1	0	0	0	0	0	0	0	0	0	0	1	0	6	5	1	0	2	0
ti|182063	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
