	IDresults120110_UNC13-SN749_0141_AD0J7WACXX_ATCACG_L005_-sam-report.tsv	IDresults120110_UNC13-SN749_0141_AD0J7WACXX_GATCAG_L004_-sam-report.tsv	IDresults120110_UNC13-SN749_0141_AD0J7WACXX_GGCTAC_L002_-sam-report.tsv	IDresults120110_UNC13-SN749_0141_AD0J7WACXX_TTAGGC_L007_.Y.Y-sam-report.tsv	IDresults120110_UNC13-SN749_0141_AD0J7WACXX_TTAGGC_L008_-sam-report.tsv	IDresults120110_UNC13-SN749_0142_BD0HK1ACXX_CGATGT_L005_.Y.Y-sam-report.tsv	IDresults120110_UNC13-SN749_0142_BD0HK1ACXX_CTTGTA_L006_.Y.Y-sam-report.tsv	IDresults120118_UNC12-SN629_0180_BC0BWMACXX_ACTTGA_L006_-sam-report.tsv	IDresults120118_UNC12-SN629_0180_BC0BWMACXX_TAGCTT_L007_.Y.Y-sam-report.tsv	IDresults120207_UNC10-SN254_0325_AC0C6MACXX_ATCACG_L005_.Y.Y-sam-report.tsv	IDresults120207_UNC9-SN296_0271_BC0CB8ACXX_ACAGTG_L002_.Y-sam-report.tsv	IDresults120717_UNC14-SN744_0245_AC0WYWACXX_ATCACG_L005_.Y-sam-report.tsv	IDresults120717_UNC14-SN744_0245_AC0WYWACXX_CTTGTA_L005_-sam-report.tsv	IDresults120723_UNC10-SN254_0372_AC0T70ACXX_TTAGGC_L001_-sam-report.tsv	IDresults120723_UNC10-SN254_0372_AC0T70ACXX_TTAGGC_L004_.Y-sam-report.tsv	IDresults120723_UNC10-SN254_0372_AC0T70ACXX_TTAGGC_L006_.Y-sam-report.tsv	IDresults130328_UNC10-SN254_0443_AD238RACXX_CTTGTA_L002_-sam-report.tsv	IDresults130513_UNC14-SN744_0340_BD250CACXX_GTGGCC_L008_.Y-sam-report.tsv	IDresults130814_UNC10-SN254_0487_AC2BD1ACXX_CAGATC_L006_.Y-sam-report.tsv
Patients	83b41d35-69b1-4218-be1a-8821d8a6899c	419deaac-ea45-4bdd-9fa0-b5cd8429b44f	ebedab7c-dd7c-448e-8324-78c86f13be8b	4dc5cffe-ed8c-47ab-b5fc-f9615b5414f7	556fcbc8-172a-4af1-8822-ae036e8d68e8	679a6869-2ce9-4472-8db1-8869e2c1a440	811b3950-36e7-485f-bc48-aca1eee2ddef	797a71ee-372d-41e5-aeee-5ab3c4661110	d17a5ab1-3789-4652-aff5-d8f4f2291f9c	f8780a4b-7f55-41d1-bf92-8513955d150e	5d54c742-5a8e-4c40-8d62-95e75e210ab8	2e85c30c-c4c4-4096-9eef-4eb2c7d991a3	31da07bb-6752-49a3-a7ea-5427c04a9458	7840aea9-40c4-473e-be33-8fa0b9f332c9	db52c68a-ed44-4ec4-9381-d75f9bcbc29a	d53eade8-a845-4252-aece-92f3573486a7	52fddd92-fa5e-4fac-8e44-e64c98c84f86	32efe5e2-e037-4547-8ead-619f61647639	acf6bdf3-6349-49dc-b99a-4eda648eeac5
ti|1280629	0	0	99	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ti|1294369	0	0	100	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	3049
ti|43215	0	0	95	0	0	0	10	0	1	3	0	0	0	0	0	0	0	91	12
ti|984094	0	0	106	0	0	0	0	0	0	0	0	0	0	0	0	0	0	206	0
ti|1709466	0	0	43	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ti|687956	0	0	235	0	0	0	0	0	1	0	0	0	0	0	0	0	5	3	222
ti|1180589	0	0	28	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ti|63378	0	0	34	0	0	0	0	0	0	0	0	0	0	0	0	0	0	61	0
ti|717646	0	0	72	0	0	0	0	0	0	0	2	0	0	0	0	0	1	1	5
ti|286617	0	0	42	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4
ti|1493668	0	0	9	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
ti|5412	0	0	8	0	0	0	0	0	3	3	0	0	0	0	0	0	0	0	12
ti|687952	0	0	70	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ti|116791	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	1
ti|44565	0	0	24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ti|63379	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ti|93604	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ti|112494	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ti|418781	0	0	12	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	986
ti|198080	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ti|4922	0	0	22	0	1	0	0	0	0	0	0	0	0	0	0	0	0	43	46
ti|574791	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2
ti|1615671	0	0	29	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ti|5606	0	0	29	0	0	0	0	0	0	0	2	0	0	0	1	0	0	25	1262
ti|764103	0	0	22	0	1	0	1	0	0	5	8	0	0	6	1	1	0	24	5
ti|5444	0	0	19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ti|237192	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ti|163254	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ti|651689	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	154	0
ti|702018	0	0	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ti|1294331	0	0	8	0	1	0	0	151	26	0	41	1	0	0	0	2	0	69	119
ti|754009	0	0	4	0	0	0	0	0	0	0	2	0	0	4	0	0	0	1	0
ti|71929	0	0	2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	40	1
ti|5033	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0
ti|544855	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
ti|201929	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ti|240343	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ti|5548	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ti|700543	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ti|36043	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ti|266409	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ti|269607	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ti|51284	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ti|1193702	0	0	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
ti|335445	0	0	3	2	2	0	0	5	1	116	8	2	1	17	3	8	0	35	337
ti|5217	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6
ti|246509	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ti|153914	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ti|1188813	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	11
ti|317047	0	0	5	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0
ti|172328	0	0	10	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	6
ti|687972	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ti|561985	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ti|930755	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ti|702015	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ti|1507872	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ti|152646	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ti|305530	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
ti|1047142	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
ti|1413237	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ti|83478	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ti|189619	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
ti|911330	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ti|1313218	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ti|191104	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ti|1193705	0	0	2	1	1	0	0	0	0	0	0	0	1	0	0	0	0	264	1
ti|160944	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
ti|75749	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ti|60172	0	0	2	0	0	0	0	0	3	0	0	0	0	0	2	0	0	7	47
ti|87257	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
ti|707616	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ti|469771	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ti|1195396	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ti|46472	0	0	1	0	0	0	0	0	2	0	1	0	2	3	0	1	1	5	0
ti|438356	0	0	25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6
ti|1709381	0	0	2	1	0	0	0	0	1	0	2	0	2	0	1	0	0	2	0
ti|1150846	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ti|1194211	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ti|4897	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	4
ti|329884	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ti|703517	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ti|613059	0	0	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1
ti|40472	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1114	45
ti|630509	0	0	31	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ti|1497704	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0
ti|748606	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
ti|1538573	0	0	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ti|251415	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ti|61459	0	0	1	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0
ti|71727	0	0	1	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0
ti|353897	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ti|34356	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ti|139825	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0
ti|27322	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ti|182040	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0
ti|45547	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ti|5025	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ti|470136	0	0	2	0	0	0	1	3	0	0	0	0	0	0	2	0	1	1	1
ti|148346	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ti|5580	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	3
ti|536342	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ti|5011	0	0	4	0	0	0	0	0	0	0	0	0	0	4	0	0	0	6	0
ti|470140	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
ti|348126	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
ti|47278	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ti|981350	0	0	11	0	0	0	0	1	0	0	0	1	0	0	0	1	0	38	27
ti|576137	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	17
ti|378041	0	0	16	0	1	0	3	0	0	41	0	0	0	0	0	0	0	0	0
ti|682062	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ti|43963	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	6
ti|5621	0	0	4	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
ti|112483	0	0	2	2	0	0	0	0	4	3	3	0	0	0	0	0	0	0	6779
ti|5191	0	0	1	0	0	0	0	0	0	0	1	0	0	0	1	0	5	7	11
ti|161684	0	0	1	0	0	0	103	0	0	0	0	4	0	0	1	0	0	0	0
ti|69980	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ti|1349589	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	4
ti|622449	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0
ti|702025	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ti|467981	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ti|565407	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ti|75736	0	0	3	0	0	0	0	2	1	0	1	2	0	7	0	2	2	0	2
ti|147563	0	0	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
ti|1139215	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ti|1485253	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ti|415592	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ti|1147121	0	0	1	0	0	0	0	1	0	0	1	0	0	0	0	0	0	1	3
ti|109760	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0
ti|108938	0	0	1	0	0	0	0	1	0	0	3	0	0	0	0	0	0	0	0
ti|5077	0	0	4	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	3
ti|5281	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ti|1284202	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ti|45603	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ti|367887	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ti|1230402	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ti|1188817	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
ti|5414	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
ti|321221	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ti|104245	0	0	3	7	1	0	3	5	1	2	0	0	6	0	1	0	2	6	41
ti|1502966	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ti|202896	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ti|240314	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ti|1180641	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ti|104307	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
ti|525003	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0.5	4	0
ti|1301421	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
ti|45134	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ti|299189	0	0	2	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	428
ti|90408	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ti|117070	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ti|1173061	0	0	1	0	0	0	1	0	0	0	0	0	2	0	0	1	0	0	4
ti|36025	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
ti|29856	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
ti|5440	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ti|109870	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0
ti|1518847	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ti|415588	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ti|64484	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ti|261098	0	0	3	1	0	0	2	2	1	32	1	0	0	0	1	3	0	48	6386
ti|281844	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
ti|1263663	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ti|74035	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ti|1382217	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ti|1260763	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
ti|1306397	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ti|4887	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ti|134354	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17
ti|930089	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ti|5474	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
ti|698441	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
ti|1341713	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ti|1502967	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ti|252685	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ti|1635079	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ti|45794	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
ti|4903	0	0	2	1	1	0	1	1	1	46	0	1	1	0	1	5	0	55	80
ti|190070	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ti|748612	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ti|4989	0	0	2	0	0	0	0	0	0	0	0	0	0	7	0	0	1	0	0
ti|467953	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ti|88751	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ti|621257	0	0	1	0	0	0	0	0	0	1	0	0	0	3	3	0	0	0	469
ti|5423	0	0	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ti|721885	0	0	2	0	1	0	2	1	2	0	1	1	2	0	1	5	0	2	3
ti|79858	0	0	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	1	4
ti|1750758	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0
ti|54194	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	4	29323
ti|52884	0	0	26	0	0	0	1	2	0	0	2	0	0	7	3	3	0	0	1
ti|27289	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
ti|202891	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ti|1043004	0	0	2	0	0	0	10	0	4	0	0	0	0	0	0	0	0	0	29
ti|1402965	0	0	2	0	0	0	0	0	2	0	0	0	1	3	3	3	1	5	40
ti|87859	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ti|744862	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ti|542766	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0
ti|44648	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ti|29924	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
ti|5434	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ti|1279043	0	0	3	2	0	0	0	4	1	2	2	2	5	0	1	0	0	3	1
ti|343994	0	0	3	0	0	0	4	7	7	4	3	1	2	0	3	4	0	2	51
ti|696024	0	0	2	0	0	0	0	24	0	1	1	0	1	5	3	2	0	0	57
ti|50936	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1
ti|286413	0	0	2	0	0	0	0	3	0	0	3	0	3	0	4	3	0	0	7
ti|1778429	0	0	2	0	0	0	0	1	0	1	0.333333333	0	0	3	2	1	0	1	0
ti|1142133	0	0	3	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ti|78925	0	0	5	1	0	0	0	6	2	1	0	1	3	4	2	0	2	1	7
ti|264087	0	0	3	1	1	0	0	10	0	0	5	2	0	3	0	0	0	0	5
ti|559295	0	0	2	1	0	0	0	4	2	0	2	0	0	0	4	3	2	2	7
ti|1304243	0	0	2	0	0	0	0	0	0	1.5	1	4	3	0	0	0	0	2	1
ti|687209	0	0	3	0	0	0	1	6	2	2	4	5	8	9	5	10	0	2	8
ti|91943	0	0	1	1	1	0	1	2	3	1	2	0	4	0	2	1	0	0	1
ti|713096	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
ti|64572	0	0	1	0	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0
ti|61424	0	0	1	0	0	0	1	0	0	0	2	1	0	4	2	0	0	2	2
ti|58919	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ti|543777	0	0	1	0	0	0	0	0	0	1	0	0	0	4	4	1	0	1	5
ti|5346	0	0	1	0	0	0	0	0	0	0	0	1	0	0	1	0	0	106	0
ti|476044	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
ti|470147	0	0	1	0	1	0	2	0	3	15	0	1	0	0	3	2	0	1	2
ti|467869	0	0	1	1	0	0	0	0	0	1	1	3	5	7	2	2	0	0	6
ti|467843	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0
ti|435397	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ti|405846	0	0	1	3	1	0	1	0	0	1	1	1	0	0	0	1	0	0	0
ti|27291	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
ti|246267	0	0	1	0	0	0	0	6	3	1	0	2	1	17	0	2	0	0	2
ti|188142	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ti|234911	0	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ti|164420	0	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ti|61395	0	0	1	0	0	0	0	2	0	1	0	0	0	0	0	0	0	2	0
ti|51916	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0
ti|51915	0	0	1	4	0	0	1	3	4	3	7	2	0	4	4	4	1	0	0
ti|474922	0	0	1	1	0	0	0	4	1	2	1	4	0	0	0	0	0	0	1
ti|357978	0	0	1	0	0	0	0	1	0	2	0	0	0	0	0	1	0	0	0
ti|28548	0	0	1	0	0	0	0	0	0	2	0	2	0	0	0	0	0	0	1
ti|1294310	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
ti|578093	0	0	1	0	0	0	2	2	0	2	1	1	1	0	5	2	1	1	4
ti|53491	0	0	1	0	0	0	0	6	0	0	0	0	0	2	0	3	0	2	0
ti|194685	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2	3
ti|1709470	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ti|100756	0	0	1	0	0	0	0	0	1	1	1	1	0	7	0	0	0	4	3
ti|1751649	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ti|160984	0	0	2	0	0	0	0	1	0	2	0	0	0	0	0	6	0	0	3
ti|4757	0	0	2	0	0	0	0	0	0	0	0	3	0	0	3	1	0	0	2
ti|1200839	0	0	1	0	1	0	1	1	3	0	0	0	0	0	0	0	0	0	2
ti|306901	0	0	2	1	0	0	0	0	0	0	1	0	0	0	3	0	1	0	0
ti|994324	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
ti|593911	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ti|52249	0	0	1	0	0	0	0	0	0	0	0	1	0	0	3	0	0	0	0
ti|470132	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ti|45151	0	0	1	0	0	0	0	1	0	4	0	0	0	0	0	0	0	0	0
ti|417325	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	99
ti|1636276	0	0	2	0	0	0	0	0	0	2	0	1	0	0	0	0	0	0	0
ti|355335	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
ti|1542755	0	0	1	0	0	0	0	0	0	0	0	0	0	22	0	0	0	0	28
ti|132112	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ti|463800	0	0	6	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1
ti|99198	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5
ti|1491472	0	0	1	0	0	0	0	0	1	3	0	2	1	0	1	0	0	2	0
ti|663331	0	0	3	1	5	0	1	5	7	7	1	9	10	0	5	2	7	0	4
ti|859599	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
ti|5207	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5
ti|1086541	0	0	3	117	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ti|29908	0	0	2	0	1	0	0	0	0	2	0	1	3	0	0	1	0	0	1
ti|306885	0	0	4	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0
ti|78923	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1
ti|224420	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3
ti|637492	0	0	4	0	0	0	1	1	0	1	0	0	0	2	0	0	0	0	0
ti|907965	0	0	2	0.25	0	0	0	8	6	3	0	3	3	0	5	0	1	0	451
ti|1305958	0	0	1	0	0	0	0	1	1	0	0	2	1	0	0	1	1	0	2
ti|284813	0	0	2	0.25	0	0	0	0	1	0	3.5	0	1	0	0	0	0	0	2
ti|931890	0	0	1	0	2	0	1	5	6	5	5	3	0	0	1	2	1	1	0
ti|1064592	0	0	2	1	1	0	2	3	1	0	4	1	3	0	1	0	1	2	1
ti|1294384	0	0	2	0	0	0	0	0	2	6	0	1	0	9	2	3	0	0	1
ti|1538178	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
ti|1434223	0	0	1	0	0	0	0	3	0	0	1	0	0	0	1	1	0	2	19
ti|1305955	0	0	1	0	1	0	1	2	0	0	1	1	0	0	2	2	0	0	1
ti|1214789	0	0	1	60	0	0	4	6	8	0	1	0	64	9	1	3	1	38	13
ti|1294340	0	0	2	0	1	0	0	0	1	0	0	0	1	0	2	0	1	0	1
ti|930091	0	0	1	1	1	0	0	3	0	0	0	0	1	0	0	1	0	0	4
ti|82516	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
ti|502780	0	0	1	0	3	0	1	2	1	3	0	0	2	0	3	2	1	0	1
ti|390835	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
ti|267680	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
